price_key,kind,size,seed_price_usd,sale_mode,slot_count,admin_editable,production_approved
AD_FULL,OPEN_MARKET,FULL,799,CLICK_TO_BUY,5,true,false
AD_HALF,OPEN_MARKET,HALF,399,CLICK_TO_BUY,4,true,false
AD_THIRD_VERTICAL,OPEN_MARKET,THIRD_VERTICAL,299,CLICK_TO_BUY,9,true,false
AD_QUARTER,OPEN_MARKET,QUARTER,199,CLICK_TO_BUY,19,true,false
AD_EIGHTH,OPEN_MARKET,EIGHTH,99,CLICK_TO_BUY,24,true,false
AD_LOGO_2X2,OPEN_MARKET,LOGO_2X2,49,CLICK_TO_BUY,18,true,false
COVER_IFC,COVER,INSIDE_FRONT,7000,INQUIRY,1,true,false
COVER_IBC,COVER,INSIDE_BACK,7000,INQUIRY,1,true,false
COVER_OBC,COVER,OUTSIDE_BACK,12000,INQUIRY,1,true,false
